X,Y,X_scaled,Y_scaled,Bearing
297,297,273.24,193.20000000000002,35.26301172959725
289,289,265.88,199.64000000000001,36.90160532357731
290,290,266.8,198.72,36.67975748263054
289,289,265.88,198.72,36.77461650388749
289,289,265.88,198.72,36.77461650388749
289,289,265.88,199.64000000000001,36.90160532357731
288,288,264.96000000000004,198.72,36.86989764584402
271,271,249.32000000000002,211.60000000000002,40.32154939396155
500,500,460.0,229.08,26.473304610957193
230,230,211.60000000000002,236.44,48.17331405262142
206,206,189.52,251.16000000000003,52.96257131255412
195,195,179.4,254.84,54.85556091681428
170,170,156.4,264.96000000000004,59.44759071484028
156,156,143.52,269.56,61.96812675893127
126,126,115.92,278.76,67.42042743597369
114,114,104.88000000000001,281.52000000000004,69.56717132060132
108,108,99.36,282.44,70.61855977847674
109,109,100.28,282.44,70.45265156078021
109,109,100.28,282.44,70.45265156078021
109,109,100.28,282.44,70.45265156078021
108,108,99.36,282.44,70.61855977847674
100,100,92.0,284.28000000000003,72.06714350015274
79,79,72.68,287.96000000000004,75.83461524923177
26,26,23.92,289.8,85.28152050132351
-28,-28,-25.76,284.28000000000003,95.1777099763409
-54,-54,-49.68,281.52000000000004,100.00797980144135
-91,-91,-83.72,270.48,107.19854122006586
-108,-108,-99.36,263.12,110.68765857043486
-137,-137,-126.04,252.08,116.56505117707799
-149,-149,-137.08,245.64000000000001,119.16380812093206
-153,-153,-140.76000000000002,243.8,120.00035328636996
-153,-153,-140.76000000000002,242.88000000000002,120.09424147644502
-154,-154,-141.68,243.8,120.16224503218154
-152,-152,-139.84,243.8,119.83793160817369
-152,-152,-139.84,243.8,119.83793160817369
-171,-171,-157.32,232.76000000000002,124.0543409616328
-188,-188,-172.96,220.8,128.07278187399083
-223,-223,-205.16,193.20000000000002,136.71968003906986
-242,-242,-222.64000000000001,177.56,141.4269158666323
-266,-266,-244.72,147.20000000000002,148.97293324008737
-291,-291,-267.72,111.32000000000001,157.4220894839387
-303,-303,-278.76,92.0,161.73540482627325
-316,-316,-290.72,67.16,166.99214175245766
-319,-319,-293.48,57.96,168.82829591766256
-326,-326,-299.92,40.480000000000004,172.31327831853167
-330,-330,-303.6,32.2,173.94580810588516
-334,-334,-307.28000000000003,17.48,176.74416822746363
-335,-335,-308.2,13.8,177.436229788535
-335,-335,-308.2,11.040000000000001,177.94849102353862
-334,-334,-307.28000000000003,11.96,177.77104986607227
-336,-336,-309.12,11.96,177.78430416341078
-335,-335,-308.2,11.96,177.7776967675289
-336,-336,-309.12,6.44,178.80651057601798
-343,-343,-315.56,-25.76,184.666858371439
-347,-347,-319.24,-45.080000000000005,188.03761530048564
-351,-351,-322.92,-75.44,193.14950207353942
-350,-350,-322.0,-100.28,197.29808084979572
-351,-351,-322.92,-110.4,198.8745497582033
-350,-350,-322.0,-130.64000000000001,202.08309738155327
-348,-348,-320.16,-139.84,203.59482056988148
-348,-348,-320.16,-141.68,203.8707668872219
-349,-349,-321.08000000000004,-141.68,203.80998526361984
-349,-349,-321.08000000000004,-141.68,203.80998526361984
-349,-349,-321.08000000000004,-141.68,203.80998526361984
-349,-349,-321.08000000000004,-131.56,202.28097891296937
-351,-351,-322.92,-118.68,200.17945866451092
-352,-352,-323.84000000000003,-115.0,199.5506443037281
-351,-351,-322.92,-99.36,197.10272896905238
-351,-351,-322.92,-87.4,195.14456258457338
-349,-349,-321.08000000000004,-62.56,191.02551009128368
-348,-348,-320.16,-53.36,189.46232220802563
-347,-347,-319.24,-37.72,186.73857570160814
-345,-345,-317.40000000000003,-28.52,185.1345274350345
-344,-344,-316.48,-28.52,185.14937325816499
-345,-345,-317.40000000000003,-28.52,185.1345274350345
-344,-344,-316.48,-29.44,185.31454566994475
-345,-345,-317.40000000000003,-27.6,184.9697407281103
-344,-344,-316.48,-23.0,184.1566298973162
-340,-340,-312.8,-5.5200000000000005,181.0109970523304
-338,-338,-310.96000000000004,2.7600000000000002,179.4914709317679
-335,-335,-308.2,19.32,176.41301783112542
-327,-327,-300.84000000000003,39.56,172.50867489562285
-323,-323,-297.16,46.92,171.0273733851036
-318,-318,-292.56,59.800000000000004,168.44773032661004
-315,-315,-289.8,67.16,166.95225779028698
-310,-310,-285.2,78.2,164.66671520694646
-310,-310,-285.2,78.2,164.66671520694646
-310,-310,-285.2,78.2,164.66671520694646
-309,-309,-284.28000000000003,77.28,164.79196080936467
-309,-309,-284.28000000000003,79.12,164.4472028677022
-308,-308,-283.36,80.96000000000001,164.05460409907712
-304,-304,-279.68,88.32000000000001,162.47443162627712
-294,-294,-270.48,103.96000000000001,158.97554932983707
-290,-290,-266.8,111.32000000000001,157.35208326496567
-281,-281,-258.52000000000004,125.12,154.17367868162432
-275,-275,-253.0,133.4,152.19854122006586
-260,-260,-239.20000000000002,150.88,147.75753216087668
-245,-245,-225.4,169.28,143.09270302558176
-236,-236,-217.12,176.64000000000001,140.86960044301472
